"","Date","Song","Artist"
"28909","2019-01-09","Dying To Live","Kodak Black"
"28910","2019-01-09","A Star Is Born (Soundtrack)","Lady Gaga & Bradley Cooper"
"28911","2019-01-16","Hoodie SZN","A Boogie Wit da Hoodie"
"28912","2019-01-16","I Am > I Was","21 Savage"
"28913","2019-01-16","Spider-Man: Into The Spider-Verse","Soundtrack"
"28914","2019-01-16","Championships","Meek Mill"
"28915","2019-01-16","beerbongs & bentleys","Post Malone"
"28916","2019-01-16","ASTROWORLD","Travis Scott"
"28917","2019-01-16","A Star Is Born (Soundtrack)","Lady Gaga & Bradley Cooper"
"28918","2019-01-16","Scorpion","Drake"
"28919","2019-01-16","Dying To Live","Kodak Black"
"28920","2019-01-16","Greatest Hits I II & III: The Platinum Collection","Queen"
"28921","2019-01-23","Hoodie SZN","A Boogie Wit da Hoodie"
"28922","2019-01-23","Spider-Man: Into The Spider-Verse","Soundtrack"
"28923","2019-01-23","I Am > I Was","21 Savage"
"28924","2019-01-23","beerbongs & bentleys","Post Malone"
"28925","2019-01-23","Championships","Meek Mill"
"28926","2019-01-23","A Star Is Born (Soundtrack)","Lady Gaga & Bradley Cooper"
"28927","2019-01-23","ASTROWORLD","Travis Scott"
"28928","2019-01-23","Scorpion","Drake"
"28929","2019-01-23","The Greatest Showman","Soundtrack"
"28930","2019-01-23","Dying To Live","Kodak Black"
"28931","2019-01-30","Future Hndrxx Presents: The WIZRD","Future"
"28932","2019-01-30","Heard It In A Past Life","Maggie Rogers"
"28933","2019-01-30","Hoodie SZN","A Boogie Wit da Hoodie"
"28934","2019-01-30","Spider-Man: Into The Spider-Verse","Soundtrack"
"28935","2019-01-30","I Am > I Was","21 Savage"
"28936","2019-01-30","Championships","Meek Mill"
"28937","2019-01-30","beerbongs & bentleys","Post Malone"
"28938","2019-01-30","A Star Is Born (Soundtrack)","Lady Gaga & Bradley Cooper"
"28939","2019-01-30","Ain't Nothin' To It","Cody Johnson"
"28940","2019-01-30","ASTROWORLD","Travis Scott"
"28941","2019-02-06","DNA","Backstreet Boys"
"28942","2019-02-06","Future Hndrxx Presents: The WIZRD","Future"
"28943","2019-02-06","Hoodie SZN","A Boogie Wit da Hoodie"
"28944","2019-02-06","A Star Is Born (Soundtrack)","Lady Gaga & Bradley Cooper"
"28945","2019-02-06","Weezer (Teal Album)","Weezer"
"28946","2019-02-06","beerbongs & bentleys","Post Malone"
"28947","2019-02-06","Championships","Meek Mill"
"28948","2019-02-06","I Am > I Was","21 Savage"
"28949","2019-02-06","ASTROWORLD","Travis Scott"
"28950","2019-02-06","Spider-Man: Into The Spider-Verse","Soundtrack"
"28951","2019-02-13","Hoodie SZN","A Boogie Wit da Hoodie"
"28952","2019-02-13","I Am > I Was","21 Savage"
"28953","2019-02-13","Future Hndrxx Presents: The WIZRD","Future"
"28954","2019-02-13","ASTROWORLD","Travis Scott"
"28955","2019-02-13","A Star Is Born (Soundtrack)","Lady Gaga & Bradley Cooper"
"28956","2019-02-13","beerbongs & bentleys","Post Malone"
"28957","2019-02-13","Championships","Meek Mill"
"28958","2019-02-13","Scorpion","Drake"
"28959","2019-02-13","Spider-Man: Into The Spider-Verse","Soundtrack"
"28960","2019-02-13","Dying To Live","Kodak Black"
"28961","2019-02-20","Thank U; Next","Ariana Grande"
"28962","2019-02-20","A Star Is Born (Soundtrack)","Lady Gaga & Bradley Cooper"
"28963","2019-02-20","Bohemian Rhapsody (Soundtrack)","Queen"
"28964","2019-02-20","Hoodie SZN","A Boogie Wit da Hoodie"
"28965","2019-02-20","beerbongs & bentleys","Post Malone"
"28966","2019-02-20","ASTROWORLD","Travis Scott"
"28967","2019-02-20","I Am > I Was","21 Savage"
"28968","2019-02-20","Scorpion","Drake"
"28969","2019-02-20","Golden Hour","Kacey Musgraves"
"28970","2019-02-20","Championships","Meek Mill"
"28971","2019-02-27","Thank U; Next","Ariana Grande"
"28972","2019-02-27","Bohemian Rhapsody (Soundtrack)","Queen"
"28973","2019-02-27","A Star Is Born (Soundtrack)","Lady Gaga & Bradley Cooper"
"28974","2019-02-27","Can't Say I Ain't Country","Florida Georgia Line"
"28975","2019-02-27","So Far Gone","Drake"
"28976","2019-02-27","Hoodie SZN","A Boogie Wit da Hoodie"
"28977","2019-02-27","beerbongs & bentleys","Post Malone"
"28978","2019-02-27","ASTROWORLD","Travis Scott"
"28979","2019-02-27","I Am > I Was","21 Savage"
"28980","2019-02-27","Championships","Meek Mill"
"28981","2019-03-06","A Star Is Born (Soundtrack)","Lady Gaga & Bradley Cooper"
"28982","2019-03-06","Thank U; Next","Ariana Grande"
"28983","2019-03-06","Drip Or Drown 2","Gunna"
"28984","2019-03-06","FATHER OF 4","Offset"
"28985","2019-03-06","Bohemian Rhapsody (Soundtrack)","Queen"
"28986","2019-03-06","This Land","Gary Clark Jr."
"28987","2019-03-06","Harverd Dropout","Lil Pump"
"28988","2019-03-06","Hoodie SZN","A Boogie Wit da Hoodie"
"28989","2019-03-06","While We Wait","Kehlani"
"28990","2019-03-06","beerbongs & bentleys","Post Malone"
"28991","2019-03-13","Wasteland; Baby!","Hozier"
"28992","2019-03-13","Thank U; Next","Ariana Grande"
"28993","2019-03-13","A Star Is Born (Soundtrack)","Lady Gaga & Bradley Cooper"
"28994","2019-03-13","Rap Or Go To The League","2 Chainz"
"28995","2019-03-13","Shelby","Lil Skies"
"28996","2019-03-13","Bohemian Rhapsody (Soundtrack)","Queen"
"28997","2019-03-13","When I Get Home","Solange"
"28998","2019-03-13","Drip Or Drown 2","Gunna"
"28999","2019-03-13","FATHER OF 4","Offset"
"29000","2019-03-13","Hoodie SZN","A Boogie Wit da Hoodie"
"29001","2019-03-20","Death Race For Love","Juice WRLD"
"29002","2019-03-20","Thank U; Next","Ariana Grande"
"29003","2019-03-20","A Star Is Born (Soundtrack)","Lady Gaga & Bradley Cooper"
"29004","2019-03-20","GIRL","Maren Morris"
"29005","2019-03-20","Bohemian Rhapsody (Soundtrack)","Queen"
"29006","2019-03-20","Hoodie SZN","A Boogie Wit da Hoodie"
"29007","2019-03-20","beerbongs & bentleys","Post Malone"
"29008","2019-03-20","Drip Or Drown 2","Gunna"
"29009","2019-03-20","Scorpion","Drake"
"29010","2019-03-20","ASTROWORLD","Travis Scott"
"29011","2019-03-27","Death Race For Love","Juice WRLD"
"29012","2019-03-27","Thank U; Next","Ariana Grande"
"29013","2019-03-27","A Star Is Born (Soundtrack)","Lady Gaga & Bradley Cooper"
"29014","2019-03-27","Hoodie SZN","A Boogie Wit da Hoodie"
"29015","2019-03-27","Bohemian Rhapsody (Soundtrack)","Queen"
"29016","2019-03-27","beerbongs & bentleys","Post Malone"
"29017","2019-03-27","Scorpion","Drake"
"29018","2019-03-27","ASTROWORLD","Travis Scott"
"29019","2019-03-27","Championships","Meek Mill"
"29020","2019-03-27","Drip Or Drown 2","Gunna"
"29021","2019-04-03","Bad Habits","NAV"
"29022","2019-04-03","Thank U; Next","Ariana Grande"
"29023","2019-04-03","Death Race For Love","Juice WRLD"
"29024","2019-04-03","The World Is Yours 2","Rich The Kid"
"29025","2019-04-03","?","XXXTENTACION"
"29026","2019-04-03","A Star Is Born (Soundtrack)","Lady Gaga & Bradley Cooper"
"29027","2019-04-03","Hoodie SZN","A Boogie Wit da Hoodie"
"29028","2019-04-03","beerbongs & bentleys","Post Malone"
"29029","2019-04-03","Bohemian Rhapsody (Soundtrack)","Queen"
"29030","2019-04-03","The Dirt (Soundtrack)","Motley Crue"
"29031","2019-04-10","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29032","2019-04-10","Victory Lap","Nipsey Hussle"
"29033","2019-04-10","Thank U; Next","Ariana Grande"
"29034","2019-04-10","Honky Tonk Time Machine","George Strait"
"29035","2019-04-10","Death Race For Love","Juice WRLD"
"29036","2019-04-10","Bad Habits","NAV"
"29037","2019-04-10","beerbongs & bentleys","Post Malone"
"29038","2019-04-10","A Star Is Born (Soundtrack)","Lady Gaga & Bradley Cooper"
"29039","2019-04-10","Hoodie SZN","A Boogie Wit da Hoodie"
"29040","2019-04-10","Scorpion","Drake"
"29041","2019-04-17","Free Spirit","Khalid"
"29042","2019-04-17","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29043","2019-04-17","Victory Lap","Nipsey Hussle"
"29044","2019-04-17","Thank U; Next","Ariana Grande"
"29045","2019-04-17","Death Race For Love","Juice WRLD"
"29046","2019-04-17","Amidst The Chaos","Sara Bareilles"
"29047","2019-04-17","beerbongs & bentleys","Post Malone"
"29048","2019-04-17","Reboot","Brooks & Dunn"
"29049","2019-04-17","Hoodie SZN","A Boogie Wit da Hoodie"
"29050","2019-04-17","Scorpion","Drake"
"29051","2019-04-24","Map Of The Soul: PERSONA","BTS"
"29052","2019-04-24","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29053","2019-04-24","Free Spirit","Khalid"
"29054","2019-04-24","Ventura","Anderson .Paak"
"29055","2019-04-24","Victory Lap","Nipsey Hussle"
"29056","2019-04-24","Thank U; Next","Ariana Grande"
"29057","2019-04-24","HOMECOMING: THE LIVE ALBUM","Beyonce"
"29058","2019-04-24","Death Race For Love","Juice WRLD"
"29059","2019-04-24","beerbongs & bentleys","Post Malone"
"29060","2019-04-24","Hoodie SZN","A Boogie Wit da Hoodie"
"29061","2019-05-01","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29062","2019-05-01","Free Spirit","Khalid"
"29063","2019-05-01","Map Of The Soul: PERSONA","BTS"
"29064","2019-05-01","HOMECOMING: THE LIVE ALBUM","Beyonce"
"29065","2019-05-01","Thank U; Next","Ariana Grande"
"29066","2019-05-01","Cuz I Love You","Lizzo"
"29067","2019-05-01","Victory Lap","Nipsey Hussle"
"29068","2019-05-01","Death Race For Love","Juice WRLD"
"29069","2019-05-01","Lemonade","Beyonce"
"29070","2019-05-01","beerbongs & bentleys","Post Malone"
"29071","2019-05-08","Hurts 2B Human","P!nk"
"29072","2019-05-08","People","Hillsong UNITED"
"29073","2019-05-08","CrasH Talk","ScHoolboy Q"
"29074","2019-05-08","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29075","2019-05-08","Free Spirit","Khalid"
"29076","2019-05-08","Thank U; Next","Ariana Grande"
"29077","2019-05-08","Map Of The Soul: PERSONA","BTS"
"29078","2019-05-08","Neotheater","AJR"
"29079","2019-05-08","HOMECOMING: THE LIVE ALBUM","Beyonce"
"29080","2019-05-08","Victory Lap","Nipsey Hussle"
"29081","2019-05-15","Father Of The Bride","Vampire Weekend"
"29082","2019-05-15","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29083","2019-05-15","Free Spirit","Khalid"
"29084","2019-05-15","Trapstar Turnt Popstar","PnB Rock"
"29085","2019-05-15","Thank U; Next","Ariana Grande"
"29086","2019-05-15","Hurts 2B Human","P!nk"
"29087","2019-05-15","CrasH Talk","ScHoolboy Q"
"29088","2019-05-15","Map Of The Soul: PERSONA","BTS"
"29089","2019-05-15","beerbongs & bentleys","Post Malone"
"29090","2019-05-15","Death Race For Love","Juice WRLD"
"29091","2019-05-22","Confessions Of A Dangerous Mind","Logic"
"29092","2019-05-22","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29093","2019-05-22","Free Spirit","Khalid"
"29094","2019-05-22","Space Between","Sammy Hagar & The Circle"
"29095","2019-05-22","Thank U; Next","Ariana Grande"
"29096","2019-05-22","Greatest Hits I II & III: The Platinum Collection","Queen"
"29097","2019-05-22","This One's For You","Luke Combs"
"29098","2019-05-22","Baby On Baby","DaBaby"
"29099","2019-05-22","beerbongs & bentleys","Post Malone"
"29100","2019-05-22","Here Comes The Cowboy","Mac DeMarco"
"29101","2019-05-29","IGOR","Tyler| The Creator"
"29102","2019-05-29","Father Of Asahd","DJ Khaled"
"29103","2019-05-29","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29104","2019-05-29","Free Spirit","Khalid"
"29105","2019-05-29","I Am Easy To Find","The National"
"29106","2019-05-29","Thank U; Next","Ariana Grande"
"29107","2019-05-29","Baby On Baby","DaBaby"
"29108","2019-05-29","Confessions Of A Dangerous Mind","Logic"
"29109","2019-05-29","RAMMSTEIN","Rammstein"
"29110","2019-05-29","Fever","Megan Thee Stallion"
"29111","2019-06-05","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29112","2019-06-05","Father Of Asahd","DJ Khaled"
"29113","2019-06-05","IGOR","Tyler| The Creator"
"29114","2019-06-05","43VA HEARTLESS","Moneybagg Yo"
"29115","2019-06-05","Free Spirit","Khalid"
"29116","2019-06-05","Aladdin (2019)","Soundtrack"
"29117","2019-06-05","4REAL 4REAL","YG"
"29118","2019-06-05","Baby On Baby","DaBaby"
"29119","2019-06-05","Thank U; Next","Ariana Grande"
"29120","2019-06-05","Cuz I Love You","Lizzo"
"29121","2019-06-12","Center Point Road","Thomas Rhett"
"29122","2019-06-12","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29123","2019-06-12","Father Of Asahd","DJ Khaled"
"29124","2019-06-12","Free Spirit","Khalid"
"29125","2019-06-12","SHE IS COMING (EP)","Miley Cyrus"
"29126","2019-06-12","IGOR","Tyler| The Creator"
"29127","2019-06-12","Diamonds","Elton John"
"29128","2019-06-12","Baby On Baby","DaBaby"
"29129","2019-06-12","Aladdin (2019)","Soundtrack"
"29130","2019-06-12","Thank U; Next","Ariana Grande"
"29131","2019-06-19","Happiness Begins","Jonas Brothers"
"29132","2019-06-19","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29133","2019-06-19","Africa Speaks","Santana"
"29134","2019-06-19","The Prequel (EP)","Luke Combs"
"29135","2019-06-19","SAVE ME (EP)","Future"
"29136","2019-06-19","Die A Legend","Polo G"
"29137","2019-06-19","Free Spirit","Khalid"
"29138","2019-06-19","Father Of Asahd","DJ Khaled"
"29139","2019-06-19","Baby On Baby","DaBaby"
"29140","2019-06-19","Diamonds","Elton John"
"29141","2019-06-26","Madame X","Madonna"
"29142","2019-06-26","Western Stars","Bruce Springsteen"
"29143","2019-06-26","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29144","2019-06-26","Happiness Begins","Jonas Brothers"
"29145","2019-06-26","Doom Days","Bastille"
"29146","2019-06-26","Free Spirit","Khalid"
"29147","2019-06-26","Die A Legend","Polo G"
"29148","2019-06-26","Baby On Baby","DaBaby"
"29149","2019-06-26","Cuz I Love You","Lizzo"
"29150","2019-06-26","Thank U; Next","Ariana Grande"
"29151","2019-07-03","Help Us Stranger","The Raconteurs"
"29152","2019-07-03","7 (EP)","Lil Nas X"
"29153","2019-07-03","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29154","2019-07-03","Happiness Begins","Jonas Brothers"
"29155","2019-07-03","Free Spirit","Khalid"
"29156","2019-07-03","Cuz I Love You","Lizzo"
"29157","2019-07-03","Delusions Of Grandeur","Gucci Mane"
"29158","2019-07-03","Baby On Baby","DaBaby"
"29159","2019-07-03","Thank U; Next","Ariana Grande"
"29160","2019-07-03","Die A Legend","Polo G"
"29161","2019-07-10","Indigo","Chris Brown"
"29162","2019-07-10","7 (EP)","Lil Nas X"
"29163","2019-07-10","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29164","2019-07-10","'Let's Rock'","The Black Keys"
"29165","2019-07-10","Acid Rap","Chance The Rapper"
"29166","2019-07-10","Free Spirit","Khalid"
"29167","2019-07-10","Cuz I Love You","Lizzo"
"29168","2019-07-10","Perfect Ten","Mustard"
"29169","2019-07-10","Oasis","J Balvin & Bad Bunny"
"29170","2019-07-10","Happiness Begins","Jonas Brothers"
"29171","2019-07-17","Dreamville & J. Cole: Revenge Of The Dreamers III","Various Artists"
"29172","2019-07-17","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29173","2019-07-17","Indigo","Chris Brown"
"29174","2019-07-17","7 (EP)","Lil Nas X"
"29175","2019-07-17","Hotel Diablo","Machine Gun Kelly"
"29176","2019-07-17","Cuz I Love You","Lizzo"
"29177","2019-07-17","Free Spirit","Khalid"
"29178","2019-07-17","beerbongs & bentleys","Post Malone"
"29179","2019-07-17","Perfect Ten","Mustard"
"29180","2019-07-17","Happiness Begins","Jonas Brothers"
"29181","2019-07-24","No.6 Collaborations Project","Ed Sheeran"
"29182","2019-07-24","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29183","2019-07-24","Dreamville & J. Cole: Revenge Of The Dreamers III","Various Artists"
"29184","2019-07-24","7 (EP)","Lil Nas X"
"29185","2019-07-24","Indigo","Chris Brown"
"29186","2019-07-24","Cuz I Love You","Lizzo"
"29187","2019-07-24","Free Spirit","Khalid"
"29188","2019-07-24","beerbongs & bentleys","Post Malone"
"29189","2019-07-24","Happiness Begins","Jonas Brothers"
"29190","2019-07-24","Baby On Baby","DaBaby"
"29191","2019-07-31","No.6 Collaborations Project","Ed Sheeran"
"29192","2019-07-31","The Lion King: The Gift (Soundtrack)","Beyonce & Various Artists"
"29193","2019-07-31","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29194","2019-07-31","7 (EP)","Lil Nas X"
"29195","2019-07-31","Dreamville & J. Cole: Revenge Of The Dreamers III","Various Artists"
"29196","2019-07-31","Indigo","Chris Brown"
"29197","2019-07-31","Cuz I Love You","Lizzo"
"29198","2019-07-31","Free Spirit","Khalid"
"29199","2019-07-31","beerbongs & bentleys","Post Malone"
"29200","2019-07-31","The Lost Tapes 2","Nas"
"29201","2019-08-07","The Search","NF"
"29202","2019-08-07","The Big Day","Chance The Rapper"
"29203","2019-08-07","No.6 Collaborations Project","Ed Sheeran"
"29204","2019-08-07","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29205","2019-08-07","Indigo","Chris Brown"
"29206","2019-08-07","7 (EP)","Lil Nas X"
"29207","2019-08-07","Cuz I Love You","Lizzo"
"29208","2019-08-07","Dum And Dummer","Key Glock & Young Dolph"
"29209","2019-08-07","FEVER DREAM","Of Monsters And Men"
"29210","2019-08-07","Dreamville & J. Cole: Revenge Of The Dreamers III","Various Artists"
"29211","2019-08-14","Care Package","Drake"
"29212","2019-08-14","No.6 Collaborations Project","Ed Sheeran"
"29213","2019-08-14","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29214","2019-08-14","Love Songs 4 The Streets 2","Lil Durk"
"29215","2019-08-14","Indigo","Chris Brown"
"29216","2019-08-14","The Search","NF"
"29217","2019-08-14","Descendants 3","Soundtrack"
"29218","2019-08-14","Cuz I Love You","Lizzo"
"29219","2019-08-14","The Big Day","Chance The Rapper"
"29220","2019-08-14","AEnima","Tool"
"29221","2019-08-21","We Are Not Your Kind","Slipknot"
"29222","2019-08-21","Port of Miami 2","Rick Ross"
"29223","2019-08-21","!","Trippie Redd"
"29224","2019-08-21","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29225","2019-08-21","No.6 Collaborations Project","Ed Sheeran"
"29226","2019-08-21","Indigo","Chris Brown"
"29227","2019-08-21","Cuz I Love You","Lizzo"
"29228","2019-08-21","Care Package","Drake"
"29229","2019-08-21","Free Spirit","Khalid"
"29230","2019-08-21","7 (EP)","Lil Nas X"
"29231","2019-08-28","So Much Fun","Young Thug"
"29232","2019-08-28","Hello From Las Vegas","Lionel Richie"
"29233","2019-08-28","Quality Control: Control The Streets; Volume 2","Various Artists"
"29234","2019-08-28","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29235","2019-08-28","No.6 Collaborations Project","Ed Sheeran"
"29236","2019-08-28","Cuz I Love You","Lizzo"
"29237","2019-08-28","Indigo","Chris Brown"
"29238","2019-08-28","Port of Miami 2","Rick Ross"
"29239","2019-08-28","Free Spirit","Khalid"
"29240","2019-08-28","Shawn Mendes","Shawn Mendes"
"29241","2019-09-04","Lover","Taylor Swift"
"29242","2019-09-04","So Much Fun","Young Thug"
"29243","2019-09-04","GINGER","BrockHampton"
"29244","2019-09-04","Cuz I Love You","Lizzo"
"29245","2019-09-04","TM104: The Legend Of The Snowman","Jeezy"
"29246","2019-09-04","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29247","2019-09-04","Quality Control: Control The Streets; Volume 2","Various Artists"
"29248","2019-09-04","No.6 Collaborations Project","Ed Sheeran"
"29249","2019-09-04","Indigo","Chris Brown"
"29250","2019-09-04","Shawn Mendes","Shawn Mendes"
"29251","2019-09-11","Fear Inoculum","Tool"
"29252","2019-09-11","Lover","Taylor Swift"
"29253","2019-09-11","Norman Fucking Rockwell!","Lana Del Rey"
"29254","2019-09-11","We Love You Tecca","Lil Tecca"
"29255","2019-09-11","So Much Fun","Young Thug"
"29256","2019-09-11","Cuz I Love You","Lizzo"
"29257","2019-09-11","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29258","2019-09-11","Indigo","Chris Brown"
"29259","2019-09-11","No.6 Collaborations Project","Ed Sheeran"
"29260","2019-09-11","ASTROWORLD","Travis Scott"
"29261","2019-09-18","Hollywood's Bleeding","Post Malone"
"29262","2019-09-18","Lover","Taylor Swift"
"29263","2019-09-18","K-12 (Soundtrack)","Melanie Martinez"
"29264","2019-09-18","So Much Fun","Young Thug"
"29265","2019-09-18","We Love You Tecca","Lil Tecca"
"29266","2019-09-18","Cuz I Love You","Lizzo"
"29267","2019-09-18","Fear Inoculum","Tool"
"29268","2019-09-18","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29269","2019-09-18","Norman Fucking Rockwell!","Lana Del Rey"
"29270","2019-09-18","The Highwomen","The Highwomen"
"29271","2019-09-25","Hollywood's Bleeding","Post Malone"
"29272","2019-09-25","III","The Lumineers"
"29273","2019-09-25","Lover","Taylor Swift"
"29274","2019-09-25","So Much Fun","Young Thug"
"29275","2019-09-25","We Love You Tecca","Lil Tecca"
"29276","2019-09-25","Cuz I Love You","Lizzo"
"29277","2019-09-25","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29278","2019-09-25","The Nothing","Korn"
"29279","2019-09-25","Indigo","Chris Brown"
"29280","2019-09-25","7 (EP)","Lil Nas X"
"29281","2019-10-02","Hollywood's Bleeding","Post Malone"
"29282","2019-10-02","The Owl","Zac Brown Band"
"29283","2019-10-02","Nine","blink-182"
"29284","2019-10-02","Lover","Taylor Swift"
"29285","2019-10-02","So Much Fun","Young Thug"
"29286","2019-10-02","We Love You Tecca","Lil Tecca"
"29287","2019-10-02","Indigo","Chris Brown"
"29288","2019-10-02","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29289","2019-10-02","Cuz I Love You","Lizzo"
"29290","2019-10-02","7 (EP)","Lil Nas X"
"29291","2019-10-09","KIRK","DaBaby"
"29292","2019-10-09","Hollywood's Bleeding","Post Malone"
"29293","2019-10-09","Abbey Road","The Beatles"
"29294","2019-10-09","I'm Him","Kevin Gates"
"29295","2019-10-09","Lover","Taylor Swift"
"29296","2019-10-09","Whiskey Myers","Whiskey Myers"
"29297","2019-10-09","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29298","2019-10-09","So Much Fun","Young Thug"
"29299","2019-10-09","Cuz I Love You","Lizzo"
"29300","2019-10-09","We Love You Tecca","Lil Tecca"
"29301","2019-10-16","SuperM: The 1st Mini Album (EP)","SuperM"
"29302","2019-10-16","Over It","Summer Walker"
"29303","2019-10-16","Hollywood's Bleeding","Post Malone"
"29304","2019-10-16","KIRK","DaBaby"
"29305","2019-10-16","Lover","Taylor Swift"
"29306","2019-10-16","Indigo","Chris Brown"
"29307","2019-10-16","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29308","2019-10-16","I'm Him","Kevin Gates"
"29309","2019-10-16","Fire & Brimstone","Brantley Gilbert"
"29310","2019-10-16","So Much Fun","Young Thug"
"29311","2019-10-23","AI YoungBoy 2","YoungBoy Never Broke Again"
"29312","2019-10-23","Hollywood's Bleeding","Post Malone"
"29313","2019-10-23","Over It","Summer Walker"
"29314","2019-10-23","KIRK","DaBaby"
"29315","2019-10-23","True 2 Myself","Lil Tjay"
"29316","2019-10-23","Lover","Taylor Swift"
"29317","2019-10-23","Wow... That's Crazy","Wale"
"29318","2019-10-23","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29319","2019-10-23","Indigo","Chris Brown"
"29320","2019-10-23","So Much Fun","Young Thug"
"29321","2019-10-30","Hollywood's Bleeding","Post Malone"
"29322","2019-10-30","AI YoungBoy 2","YoungBoy Never Broke Again"
"29323","2019-10-30","Over It","Summer Walker"
"29324","2019-10-30","KIRK","DaBaby"
"29325","2019-10-30","Lover","Taylor Swift"
"29326","2019-10-30","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29327","2019-10-30","So Much Fun","Young Thug"
"29328","2019-10-30","True 2 Myself","Lil Tjay"
"29329","2019-10-30","Woptober II","Gucci Mane"
"29330","2019-10-30","Indigo","Chris Brown"
"29331","2019-11-06","JESUS IS KING (Soundtrack)","Kanye West"
"29332","2019-11-06","Hollywood's Bleeding","Post Malone"
"29333","2019-11-06","Pony","Rex Orange County"
"29334","2019-11-06","AI YoungBoy 2","YoungBoy Never Broke Again"
"29335","2019-11-06","Over It","Summer Walker"
"29336","2019-11-06","KIRK","DaBaby"
"29337","2019-11-06","Lover","Taylor Swift"
"29338","2019-11-06","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29339","2019-11-06","Old Dominion","Old Dominion"
"29340","2019-11-06","So Much Fun","Young Thug"
"29341","2019-11-13","Hollywood's Bleeding","Post Malone"
"29342","2019-11-13","JESUS IS KING (Soundtrack)","Kanye West"
"29343","2019-11-13","AI YoungBoy 2","YoungBoy Never Broke Again"
"29344","2019-11-13","Wildcard","Miranda Lambert"
"29345","2019-11-13","Over It","Summer Walker"
"29346","2019-11-13","KIRK","DaBaby"
"29347","2019-11-13","So Much Fun","Young Thug"
"29348","2019-11-13","Lover","Taylor Swift"
"29349","2019-11-13","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29350","2019-11-13","Indigo","Chris Brown"
"29351","2019-11-20","What You See Is What You Get","Luke Combs"
"29352","2019-11-20","Hollywood's Bleeding","Post Malone"
"29353","2019-11-20","AI YoungBoy 2","YoungBoy Never Broke Again"
"29354","2019-11-20","Over It","Summer Walker"
"29355","2019-11-20","Lover","Taylor Swift"
"29356","2019-11-20","JESUS IS KING (Soundtrack)","Kanye West"
"29357","2019-11-20","KIRK","DaBaby"
"29358","2019-11-20","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29359","2019-11-20","So Much Fun","Young Thug"
"29360","2019-11-20","Ghetto Gospel","Rod Wave"
"29361","2019-11-27","Courage","Celine Dion"
"29362","2019-11-27","Chixtape 5","Tory Lanez"
"29363","2019-11-27","Hollywood's Bleeding","Post Malone"
"29364","2019-11-27","Lover","Taylor Swift"
"29365","2019-11-27","What You See Is What You Get","Luke Combs"
"29366","2019-11-27","AI YoungBoy 2","YoungBoy Never Broke Again"
"29367","2019-11-27","Over It","Summer Walker"
"29368","2019-11-27","KIRK","DaBaby"
"29369","2019-11-27","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29370","2019-11-27","JESUS IS KING (Soundtrack)","Kanye West"
"29371","2019-12-04","A Love Letter To You 4","Trippie Redd"
"29372","2019-12-04","9","Jason Aldean"
"29373","2019-12-04","Frozen II","Soundtrack"
"29374","2019-12-04","Hollywood's Bleeding","Post Malone"
"29375","2019-12-04","When We All Fall Asleep; Where Do We Go?","Billie Eilish"
"29376","2019-12-04","Lover","Taylor Swift"
"29377","2019-12-04","Everyday Life","Coldplay"
"29378","2019-12-04","Melly vs. Melvin","YNW Melly"
"29379","2019-12-04","What You See Is What You Get","Luke Combs"
"29380","2019-12-04","Over It","Summer Walker"
"29381","2019-12-11","Frozen II","Soundtrack"
"29382","2019-12-11","Hollywood's Bleeding","Post Malone"
